brand,perfume,launch_year,main_accords,notes
En Voyage Perfumes,Caf Cacao,2014,"sweet, warm spicy, cacao, amber, coffee","coffee, milk, dark chocolate, whipped cream, amber, musk, ambergris, vanilla, rose, sugar, cardamom, bergamot"
4160 Tuesdays,Urura s Tokyo Caf,2013,"sweet, powdery, citrus, fruity, floral, rose","violet, rose, opoponax, raspberry leaf, tolu balsam, raspberry, pink grapefruit, tangerine, mandarin orange"
Shirley May,Darknet,0,"woody, musky, aromatic, fresh spicy, warm spicy","anise, cardamom, cinnamon, musk, moss, cedar, vetiver, sandalwood, ginger, lavender"
Jean Paul Gaultier,Le Male Terrible,2010,"aromatic, vanilla, fresh spicy, citrus, floral, sweet","lavender, vetyver, amber, vanille, grapefruit, pink pepper"
The Master Perfumer,Velvet Patchouli N 20,2015,"patchouli, fruity, sweet, rose, warm spicy","rose, patchouli, plum"
Detaille,Cherubin,0,"citrus, white floral, narcotic, fresh, green","neroli, tangerine"
I Profumi di Firenze,Tulipano Nero,0,"balsamic, floral, sweet, woody, smoky, yellow floral","rose, ylang-ylang, vanilla orchid, myrrh, vetiver, lily-of-the-valley, bergamot, mandarin orange"
Trilogy,Jua,2014,"floral, green, fresh spicy, woody, aromatic","apricot, olibanum, mint, cedar, vetiver, vanilla, bergamot, rose, freesia"
Mariah Carey,Lollipop Splash Vision of Love,2011,"sweet, vanilla, citrus, coconut, white floral","jasmine, peach, macarons, musk, sandalwood, vanille, neroli, mandarin orange, coconut"
Sephora,Poetique Vanille Fleur d Oranger,2007,"vanilla, white floral, sweet, citrus, powdery","african orange flower, vanille"
Parfums Codibel,Dakar,0,nan,nan
D Orsay,Le Dandy,1925,"sweet, warm spicy, fruity, whiskey, rum","ginger, nutmeg, cardamon, cinnamon, clove, sandalwood, benzoin, patchouli, tonka bean, peru balsam, tobacco, whiskey, rum, peach, pineapple, plum"
Byblos,Fuoco,1997,"warm spicy, cinnamon, woody, vanilla, powdery","sandalwood, vanille, amalfi lemon, spices, cinnamon"
Soivohle,Massive Patchouli,0,"woody, earthy, patchouli, vanilla, citrus, warm spicy","bergamot, oakmoss, woody notes, patchouli, vetiver, vanilla, cedar"
ID Parfums,Tentation de Violettes,0,"powdery, floral, woody, fruity, sweet","violet, wisteria, sandalwood, iris, heliotrope, pink pepper, black currant, raspberry"
Roberto Verino,Gold Diva,2012,"floral, fresh, aquatic, fruity, sweet","yellow water lily, peony, osmanthus, musk, amber, honey, lotus, passionfruit, pomegranate"
Sweet Anthem Perfumes,Charlotte,0,"green, leather, floral, aromatic, animalic, fresh spicy","lavender, peony, leather, white amber, green leaves, watery notes"
Bien Etre,Eau de Cologne aux Absolues de Roses,0,"rose, floral, citrus","damask rose, rose de mai"
Givenchy,Ange Ou Demon Le Secret 2014,2014,"green, citrus, fresh, fruity, sour","peony, water lily, jasmine sambac, rose, hedione, patchouli, white woods, white musk, amberwood, vanilla, lemon, tea leaf, cranberry, grapefruit, orange"
Erox,Realm Men,1993,"fresh spicy, aromatic, patchouli, woody, citrus","orange, ginger, patchouli, lavender, juniper"
Kokeshi,Lotus,0,"floral, aquatic, woody, ozonic, fresh spicy","watery notes, lotus, white woods, floral notes, freesia"
Miller Harris,tui Noir,2016,"balsamic, smoky, leather, woody, citrus","incense, iris, vetiver, leather, bergamot, tangerine"
Six Scents,Six Scents 1 Alexandre Herchcovitch Urban Tropicalia,2008,"fruity, green, aromatic, woody, fresh spicy, floral","jasmine, apricot, cedar, amber, cassis, lime, green apple, tagetes, freesia, cinnamon, musk"
Florescent,G teaux,2015,"fresh spicy, aromatic, citrus, white floral, balsamic, green","rose geranium, blood orange, mint, orange blossom, tolu balsam"
Black Phoenix Alchemy Lab,Nocturne,0,"floral, powdery, tuberose, fresh, white floral","lilac, violet, tuberose"
Hermes,Jour d Hermes Parfum,2013,"white floral, citrus, green, woody, musky","gardenia, sweet pea, green notes, white flowers, musk, woodsy notes, lemon, grapefruit, water notes"
Herra,Wild Wood,0,"aromatic, fresh spicy, woody, citrus, powdery, warm spicy","amber, patchouli, vanilla, musk, cedar, bergamot, lemon, peach, plum, juniper berry, cardamom, lavender, geranium, jasmine, sage, violet"
D S Durga,Vetyver,0,"woody, aromatic, green, earthy, fresh spicy",vetyver
West Third Brand,Vanille de Santos,0,"floral, white floral, sweet, warm spicy, powdery","vanilla orchid, jasmine, white lily, patchouli, spices"
Black Phoenix Alchemy Lab,Libertine,0,"musky, woody, herbal, floral, balsamic","palisander rosewood, chamomile, violet, primrose, bergamot, red sandalwood, musk"
Corine de Farme,Barcelona Night,0,"fruity, sweet, floral, powdery, caramel, woody","rose, lily-of-the-valley, raspberry, musk, violet, caramel, amalfi lemon, black currant, red apple"
Frederic Malle,Une Rose,2003,"rose, fresh spicy, aromatic, wine, floral","pelargonium, rose, fruity notes, woodsy notes, tuber, musk, honey, geranium, red wine"
Baldessarini,Private Affairs,2011,"woody, leather, citrus, powdery, animalic, balsamic","leather, sandalwood, virginia cedar, bergamot"
Comme des Garcons,Comme des Garcons Series 2 Red Sequoia,2001,"woody, rum, sweet, warm spicy, oud","leather, agarwood (oud), rum, karo-korund, mahogany, sequoia, opoponax"
Antonio Rossini,Dolce Vita,2016,"woody, aromatic, fresh spicy, warm spicy, herbal","lavender, clove, thyme, woody notes, guaiac wood, patchouli, moss, amber, bergamot, green apple"
Rihanna,RiRi,2015,"sweet, vanilla, fruity, tropical, white floral, fresh","pink freesia, jasmine, orange blossom, honeysuckle, sandalwood, musk, siam benzoin, vanila, mandarin orange, cassis, rum, passionfruit"
Regency Cosmetics,Jade East,1964,"citrus, warm spicy, musky, vanilla, woody, fresh","spices, musk, vanilla, citruses, cedar, woody notes, green notes"
Pierre Balmain,Eau d Ivoire,2000,"floral, woody, fruity, sweet, rose","wisteria, raspberry, ylang-ylang, lily-of-the-valley, musk, vanilla, vetiver, cedar, mandarin orange, freesia, red berries, wild rose"
Marc Jacobs,Mod Noir,2015,"white floral, green, citrus, floral, tuberose","gardenia, water lily, magnolia, tuberose, musk, orange blossom, nectarine, green notes, clementine, yuzu"
Voluspa,Elysian Garden,2010,"green, citrus, fresh, fresh spicy","citruses, green leaves"
Pascal Morabito,Monsieur Morabito,1994,"fresh spicy, aromatic, citrus, green, woody, floral","citruses, ozonic notes, lavender, herbal notes, geranium, oakmoss, animal notes"
Comme des Garcons,Comme des Garcons Series 3 Incense Zagorsk,2002,"woody, smoky, balsamic, aromatic, leather","pine tree, iris, hinoki wood, violet, pimento, cedar, birch, olibanum, incense"
Jacques Fath,Nathalie de Fath,2015,"citrus, floral, woody, fresh spicy, green","lotus, jasmine, freesia, cedar, sandalwood, musk, lime, bergamot, apple"
Victoria s Secret,Scandalous,2014,"sweet, fruity, milky, nutty, floral","peony, praline, raspberry"
MDCI Parfums,Nuit Andalouse,2013,"white floral, woody, powdery, sweet, yellow floral, citrus","gardenia, ylang-ylang, rose, orange blossom, vanilla, sandalwood, musk, amyl salicylate, orange, violet, green notes"
Grasse Au Parfum,No 21 Sensuelle,0,"citrus, rose, vanilla, white floral, fresh","rose, jasmine, vanilla, citruses"
Banana Republic,Slate,2006,"aromatic, fresh spicy, soft spicy, amber, leather","clary sage, ginger, null"
Ted Lapidus,Altamir,2007,"white floral, sweet, aromatic, balsamic, citrus","cyclamen, orange blossom, jasmine, tonka bean, amber, patchouli, musk, vetiver, teak wood, pineapple leaf, neroli, bergamot"
O Boticario,One of Us,1997,"floral, woody, fresh spicy, aromatic, powdery","cyclamen, lily-of-the-valley, cedar, sandalwood, musk, bergamot, lavender, basil"
Givenchy,So Givenchy,2004,"floral, fruity, aquatic, ozonic, sweet, woody","peony, magnolia, black currant, amber, musk, cedar, raspberry, cucumber"
Emper,Memories,0,"white floral, green, fruity, tuberose, citrus","white flowers, honeysuckle, tuberose, rose, sandalwood, musk, bergamot, apple, green leaves, currant buds"
Marks and Spencer,Per Una,0,"floral, rose, white floral, aquatic, fruity","null, null, magnolia, jasmine, rose"
Marks and Spencer,Butterfly,2010,"aquatic, ozonic, fruity, green, fresh, floral","rose, violet, magnolia, musk, amber, grapefruit, cucumber, granny smith apple"
Molinard,Les Orientaux Patchouli,0,"patchouli, warm spicy, balsamic, woody, powdery, earthy","patchouli, sandalwood, vanilla, musk, orange, african orange flower, geranium"
Comme des Garcons,Glitter,2009,"fresh spicy, aromatic, patchouli, warm spicy, green, woody","nutmeg, magnolia, coriander, cinnamon, west indian bay, patchouli, cedar, aldehydes, mandarin orange, tea, angelica"
Avon,Tomorrow,2005,"woody, sweet, powdery, fresh spicy, balsamic","violet, orange blossom, sandalwood, brazilian rosewood, white musk, amber, patchouli, pepper, raspberry, peach, tagetes"
Guerlain,Eau de Cologne Imp riale Edition 160 Anniversaire,2013,"aromatic, citrus, woody, fresh spicy, fresh, balsamic","neroli, tonka bean, cedar, rosemary, lemon, bergamot, petitgrain"
Yves Rocher,Pur Desir de Gardenia,2003,"white floral, animalic, fruity, warm spicy, sweet","gardenia, fruity notes, spices"
Pacha Ibiza,Pacha Woman,2014,"cherry, vanilla, patchouli, sweet, fruity, powdery","cherry, rose, iris, cassis, guarana, patchouli, amber, black vanilla husk, white musk, bergamot"
Molyneux,Quartz pour Femme,0,"woody, citrus, earthy, floral, white floral, green","honeysuckle, iris, jasmine, lily-of-the-valley, rose, oakmoss, sandalwood, patchouli, vetiver, bergamot, tangerine, lemon"
Florascent,Hana,0,"floral, fresh, fruity",cherry blossom
Lipsy,Lipsy,2010,"citrus, rose, fruity, powdery, white floral, fresh spicy","rose, jasmine, violet, null, bitter orange, mandarin orange, pear, ginger"
Prada,Infusion de Tubereuse,2010,"citrus, tuberose, white floral, animalic, balsamic, amber","blood orange, tuberose, petitgrain, labdanum"
Julie Burk Perfumes,Zimbro New,1986,"aromatic, warm spicy, woody, earthy, fresh spicy","geranium, jasmine, cloves, cinnamon, vetiver, patchouli, oakmoss, bergamot, sage, bay leaf, coriander, aldehydes"
Bill Blass,Couture 7,2008,"citrus, aromatic, fresh, white floral, fresh spicy","bitter orange, amalfi lemon, pomelo, tarragon, orange blossom, citron"
Sweet Anthem Perfumes,Petra,2014,"sweet, vanilla, cherry, balsamic, herbal","heliotrope, immortelle, madagascar vanilla, myrrh, cherry"
Hel ne D Arcy,Enjou,0,floral,floral notes
Yves de Sistelle,Thallium Women,0,"powdery, floral, sweet, vanilla, rose, woody","jasmine sambac, rose, iris, violet, coffee blossom, musk, sandalwood, vanilla, pink pepper, mandarin orange, peach, apple, pineapple"
Mendittorosa,Nettuno,2016,"woody, powdery, musky, floral, fresh spicy, leather","rose, leather, haitian vetiver, carrot seeds, iris, benzoin, rum, white musk, cyclamen, pink pepper, ginger, nutmeg"
Guerlain,L Instant Magic Limited Edition,2008,"powdery, floral, woody, musky, almond","mimosa, carnation, violet, freesia, rose, iris, sandalwood, almond, vanilla, cedar, white musk, anise, bergamot, lemon"
EcoParfum,Spring Dreams,2014,"green, aromatic, fresh spicy, herbal, citrus, floral","tagetes, bergamot, mimosa, mint, chamomile, galbanum, neroli, hay, violet leaf, sandalwood"
Soivohle,Rivertown Road,2011,"balsamic, powdery, floral, woody, fresh spicy, smoky","white violet, lavender, jasmine sambac, rose, cinnamon, mimosa, tobacco, carnation, tonka bean, hay, tolu balsam, natural musk, cedar, sandalwood, olibanum, haitian vetiver, ambergris, nutmeg, oakmoss, patchouli, amber, bay leaf, lavender, lime, bergamot"
Marc Ecko,Blue,2011,"aromatic, aquatic, fresh spicy, woody, musky, fresh","lavender, geranium, juniper berries, green notes, water notes, musk, sandalwood, oak moss, citruses, black currant, plum"
Laurence Dumont,Cash Game,2012,"warm spicy, aromatic, green, vanilla, woody, citrus","cardamom, cinnamon, vanilla, cedar, lemon, mint"
Anucci,Anucci Men,1989,"white floral, aromatic, citrus, fresh spicy, herbal","lavender, vetyver, patchouli, musk, oak moss, amber, bergamot, citruses, jasmine, chamomile, woodsy notes"
Armaf,Vanity Femme Essence,0,"floral, white floral, citrus, musky, sweet, fruity","jasmine, magnolia, rose, amber, musk, vanilla, freesia, orange blossom, peach, bitter orange"
Lily Lambert,Luminance,2008,"vanilla, warm spicy, amber, coconut, sweet, tropical","vanille, spices, amber, coconut"
The Merchant of Venice,Fenicia,2015,"balsamic, warm spicy, citrus, smoky, aromatic","nutmeg, rose, clove, cinnamon, myrhh, olibanum, patchouli, sandalwood, tonka bean, benzoin, saffron, citruses, lemon, elemi"
Maison Francis Kurkdjian,Absolue Pour le Matin,2010,"citrus, floral, powdery, aromatic, fresh spicy","iris, neroli, amber, bergamot, amalfi lemon, thyme, violet, lavender"
Zara,Zara W END till 12 00 AM,2016,"aromatic, fresh spicy, green, citrus, warm spicy","violet leaf, lavender, musk, cedar, mint, cardamom, mandarin orange"
L Artisan Parfumeur,Mure et Musc Cologne,2003,"fruity, citrus, fresh spicy, musky, sweet","blueberry, mandarin orange, jasmine, blackberry, musk, basil, grapefruit, bergamot"
Christine Lavoisier Parfums,Nice Dreams,0,"sweet, fruity, citrus, woody, floral","jasmine, peony, water lily, pink pepper, vanilla, musk, cedar, lemon, clementine, raspberry, peach"
Hermes,Eau des Merveilles 10th Anniversary Edition,2014,"woody, citrus, fresh spicy, aromatic, fresh, soft spicy","pink pepper, pepper, violet, ambergris, oakmoss, cedar, vetiver, fir, bitter orange, italian lemon, elemi"
Ghost,Ghost Cherish,2005,"floral, rose, citrus, fresh spicy, powdery","pink lotus, violet, rose, amber, musk, cedar, green apple, freesia, pink grapefruit"
C O Bigelow,Barber Cologne Elixir Black,0,"amber, vanilla, oud, balsamic, musky, aromatic","tonka bean, amber, musk, vanilla, agarwood (oud)"
Yves Saint Laurent,La Collection Nu,2011,"balsamic, smoky, warm spicy, aromatic, floral","incense, orchid, olibanum, cardamom, bergamot"
Castle Forbes,S Eau Fresh,0,"citrus, aromatic, fresh spicy, woody, fresh, green","orange, bergamot, rosemary, lemon"
Histoires de Parfums,Petroleum,2011,"animalic, musky, oud, leather, amber","amber, rose, musk, patchouli, civetta, leather, bergamot, agarwood (oud), aldehydes"
Drift Parfum de Terre,Flourish,2014,"woody, aromatic, balsamic, amber, ozonic, green","lavender, labdanum, violet leaf, vetiver, sandalwood"
L T Piver,Un Parfum d Aventure,1931,"warm spicy, fresh spicy, woody, aromatic, citrus","geranium, cinnamon, allspice, cardamom, rose, sandalwood, moroccan cedar, haitian vetiver, rosebay willowherb, lavender, lemon, bergamot"
Lalique,R ve d Infini,2015,"fruity, floral, musky, woody, rose","freesia, jasmine, rose, peach, cedar, vanilla, musk, sandalwood, bergamot, litchi, white rose"
Apple Parfums,Susanna Princess in Gold,0,"white floral, powdery, rose, vanilla, fresh spicy","vanilla, jasmine, gardenia, iris, honeysuckle, rose, nutmeg"
Jovan,Wild Honeysuckle,0,"white floral, floral, fruity, animalic","floral notes, honeysuckle"
Intelligent Nutrients,Seductive,0,"fruity, sweet, tropical, vanilla, fresh spicy","nutmeg, clove, vanille, orange, coconut, blackberry, pineapple, mango"
Avon,Millennia,1997,"floral, warm spicy, powdery, woody, fresh spicy","nutmeg, cardamom, bergamot, clementine, spices, sandalwood, violet, lilac, lily, lotus, orchid"
Lush,Uptown Funk,2015,"citrus, white floral, green, aromatic, fresh, narcotic","neroli, bergamot, lemon"
Morris,Morriselle Pour Elle Musc,2013,"fruity, floral, rose, musky, patchouli, yellow floral","rose, jasmine, ylang-ylang, patchouli, amber, white musk, litchi, pear, lily-of-the-valley"
Pokrovka Trading House,Cherry Blossom,0,"floral, fruity, white floral, fresh, sweet, musky","cherry blossom, tiare flower, orange blossom, lily, patchouli, honey, musk, guava, raspberry, pear"
Frederic M,Une Vie en Or pour Homme,0,"patchouli, leather, animalic, amber, warm spicy, citrus","leather, patchouli, amber, lemon, grapefruit"
Herve Gambs Paris,Ombre Sauvage,2015,"woody, vanilla, aromatic, powdery, sweet, balsamic","cedar, haitian vetiver, madagascar vanilla, tonka bean"
Arrogance,Arrogance Mix Vaniglia Papaya,2005,"tropical, vanilla, fresh, sweet, floral, musky","peony, cassia, vanilla, white musk, papaya, mandarin orange"
Marks and Spencer,Per Una Originale Rosa,0,"citrus, caramel, woody, rose, ozonic","rose, jasmine, caramel, woody notes, bergamot, orange, violet leaf"
JoAnne Bassett,Sybarite,2014,"floral, white floral, fruity, musky, rose, balsamic","bulgarian rose, orange blossom, osmanthus, neroli, damask rose, olibanum, agarwood (oud), musk"
Alvarez Gomez,Balneario,0,"citrus, sour, sweet, fruity, green","mandarin orange, lemon, white grapefruit, rhubarb"
Demeter Fragrance,Little Twin Stars,2010,"citrus, fresh, fresh spicy",citruses
Zara,Textures Polar Winds,2000,"citrus, fresh, aquatic, floral, fresh spicy","floral notes, water notes, citruses"
Eudora,Elegant Cashmere,2013,"musky, woody, amber","null, cashmere wood, cashmere musk, null"
JoAnne Bassett,Sacred 786 Elixir,2016,"balsamic, woody, green, musky, smoky","castoreum, natural musk, peru balsam, galbanum, cinnamon, lime, moroccan rose, black spruce, labdanum, palisander rosewood, basil, olibanum, green nard"
Zara,Il Homme,2003,"warm spicy, citrus, balsamic, woody, aromatic, powdery","cardamom, cinnamon, musk, sandalwood, amber, tonka bean, vanille, neroli, bergamot, orange"
Perfume and Skin,Trigger,2012,"woody, floral, sweet, powdery, amber","lotus, champaca, black orchid, black violet, amber, mahogany, musk, pomegranate, persimmon, green notes"
New Yorker,New Yorker Style Up for Him,2013,"aromatic, fresh spicy, fruity, green, fresh","lavender, sea notes, violet leaf, woody notes, patchouli, ambergris, mojito, apple, bergamot, basil"
Black Phoenix Alchemy Lab,Embalming Fluid,0,"green, citrus, musky, fresh, ozonic, aromatic","musk, green tea, aloe vera, lemon"
Phlur,Hanami,2016,"woody, balsamic, powdery, warm spicy",sandalwood
Profumum Roma,Aquae Nobilis,2009,"aromatic, woody, earthy, fresh spicy, bitter","geranium, wormwood, vetyver, oakmoss"
Galerie Noemie,Expeau,2002,"cacao, vanilla, musky, warm spicy, sweet","vanille, musk, virginia cedar, cacao"
Linn Young,Touzz Tendre,0,"citrus, patchouli, rose, white floral, earthy","jasmine, rose, patchouli, vetiver, bergamot, orange"
Banana Republic,Cordovan,0,"fresh spicy, aromatic, woody, green, leather","fig leaf, nutmeg, leather, bergamot, lavender, iris, vetiver, juniper"
Tulip,Oakmoss Lily Blossom,2010,"white floral, woody, yellow floral, balsamic, earthy","ylang-ylang, jasmine, sandalwood, lily, oakmoss"
Louis Feraud,Le Bleu,2014,"citrus, green, aromatic, white floral, musky","palmarosa, rose, honeysuckle, sandalwood, vetiver, musk, ambroxan, italian lemon, petitgrain, mandarin orange, galbanum"
Lush,Flower Market,0,"green, floral, aromatic, warm spicy, yellow floral","carnation, ylang-ylang, galbanum, violet"
V Canto,Alibi,2015,"woody, earthy, aromatic, patchouli, balsamic","vetiver, cedar, elemi, peat, cashmere wood, patchouli, leather, benzoin, musk, cypress, bergamot, mandarin orange, salt"
S Cute,Luxe Berry Passion Red,2008,"rose, floral, citrus, green, fresh spicy","orange, peach, sandalwood, musk, rose, jasmine, lily-of-the-valley, hyacinth"
Masik Collegiate Fragrances,The University of Florida Men,0,"aromatic, green, amber, soft spicy, citrus, musky","mint, clary sage, violet leaf, jasmine sambac, amber, white musk, sandalwood, yuzu, coriander leaf"
Six Scents,Verde,2011,"aromatic, green, white floral, citrus, woody","galbanum, orchid, jasmine, fern, white flowers, orris root, woody notes, palm leaf, silk vine or milk broom, seaweed, shiso, bergamot, lemon"
Novaya Zarya,Ametist,1967,"white floral, powdery, animalic, amber, honey","jasmine, powdery notes, honey, amber"
Hilde Soliani,Teatro Olfattivo Di Parma Stecca,2008,"aromatic, green, fresh spicy, fresh",tomato leaf
Dame Perfumery Scottsdale,Soliflore Narcissus,2015,"yellow floral, green, aromatic, floral, herbal",narcissus
MONOM,Nardo,2014,"musky, balsamic, vanilla, warm spicy, earthy, woody","bergamot, mandarin orange, nard himalayan (jatamansi), jasmine, incense, sandalwood, patchouli, cedar, ambergris, white musk, vanilla bean, tonka bean"
10th Avenue Karl Antony,Cinecitta,2015,"floral, fruity, citrus, white floral, musky, vanilla","rose, osmanthus, orange blossom, patchouli, vanilla, musk, tangerine, black currant, freesia"
Ulric de Varens,Varens Moi L Emotion,2010,"fruity, woody, floral, white floral, musky, rose","jasmine, freesia, rose, musk, sandalwood, mandarin orange, black currant, red apple"
Terry de Gunzburg,Th Glac Aqua Parfum Russian Gold Edition,2015,"green, citrus, fresh spicy, musky, fresh","lemon verbena, grapefruit, almond, white flowers, lavender, black tea, camphor, mate, oakmoss, musk"
Parfum d Empire,Wazamba,2009,"balsamic, smoky, woody, sweet, aromatic","olibanum, plum, myrrh, labdanum, incense, opoponax, sandalwood, fern, resin, incense, cypress, red apple, aldehydes"
Pupa,I m,2015,"fruity, musky, sweet, woody, rose, amber","rose, violet, honeysuckle, white amber, labdanum, vanilla, musk, black currant, wild strawberry, cloves"
English Laundry,English Laundry Notting Hill,2013,"woody, citrus, musky, fresh spicy, balsamic, powdery","jasmine, pepper, cedar, sandalwood, amber, musk, bergamot, lemon, lime"
Thierry Mugler,A Men Summer Flash,2006,"patchouli, woody, warm spicy, musky, earthy","patchouli, musk, woodsy notes"
Emanuel Ungaro,Apparition Cobalt,2010,"citrus, fresh spicy, aromatic, patchouli, floral","lavender, nutmeg, patchouli, virginia cedar, bergamot, mandarin orange"
Victoria s Secret,Love Me More,2016,"amber, citrus, animalic, balsamic, powdery","canel\u00e9, amber, grapefruit"
L Occitane en Provence,Eau Universelle,2012,"citrus, fresh spicy, aromatic, woody, floral, herbal","geranium, woodsy notes, bergamot, grapefruit"
Serge Lutens,Santal Majuscule Edition Num rot e,2012,"woody, warm spicy, cacao, balsamic, rose","cacao, damask rose, sandalwood"
Faith Hill,True,0,"white floral, citrus, woody, powdery, musky, sweet","gardenia, white lily, musk, sandalwood, woodsy notes, yuzu, mimosa"
George Kordahi,Le Oud,0,"balsamic, oud, smoky, amber, warm spicy, earthy","olibanum, agarwood (oud), myrrh, amber, soil tincture, spices"
Artemisia Natural Perfume,Ozymandias,2014,"woody, balsamic, tobacco, clay, herbal","mandarin leaf, arnica, tobacco, cedar, olibanum, sandalwood, woody notes, clay"
Tom Tailor,Ocean for Women,2008,"floral, fresh, fruity, citrus, rose","cyclamen, peony, rose, cedar, musk, amber, grapefruit, litchi, black currant"
Profumum Roma,Tuberosa,2007,"white floral, tuberose, animalic, floral","jasmine, tuberose, gardenia"
Byblos,Cielo,1997,"fresh spicy, patchouli, white floral, vanilla, warm spicy, balsamic","jasmine, gardenia, nutmeg, pepper, musk, sandalwood, patchouli, vanille, coconut, mandarin orange, lily-of-the-valley"
Lanvin,Eclat d Arpege Arty,2014,"floral, fresh, green, musky, fresh spicy, citrus","wisteria, peony, green tea, peach blossom, cedar, white musk, amber, lemon leaf, lilac"
Hollister,Wild Chase,0,"fruity, sweet, vanilla, powdery, sour","blueberry, blackberry, vanilla"
L acqua Di Fiori,H2O Frozen,2011,"citrus, fresh spicy, woody, warm spicy, balsamic","cardamom, nutmeg, sandalwood, musk, lime, italian tangerine"
Demeter Fragrance,First Love,2015,"white floral, rose, floral, aquatic, citrus","lemon, honeysuckle, jasmine, lotus, white rose"
Givenchy,Eaudemoiselle de Givenchy Eau Fraiche,2012,"citrus, white floral, green, rose, aromatic","orange blossom, rose, violet, rhubarb, musk, petitgrain, bergamot, lemon, mandarin orange"
Roja Dove,H The Exclusive Black Tier,2016,"musky, woody, oud, sweet, powdery, amber","rose de mai, jasmine, violet, raspberry, pepper, saffron, patchouli, cashmere wood, sandalwood, agarwood (oud), benzoin, vanilla, orris root, myrrh, opoponax, birch, labdanum, suede, ambergris, musk, bergamot"
King s Palace Perfumery,Hampton Courting,2014,"sweet, citrus, fresh spicy, warm spicy, cacao","pineapple, lemon balm, aldehydes, sweet orange, geranium, honeysuckle, freesia, rose, ivy, white musk, patchouli, cacao"
La Perla,Charme,2006,"vanilla, amber, musky, citrus, floral","rose, jasmine, cedar, amber, musk, vanilla, bergamot, lotus"
Therapeutate Parfums,Modern Patchouli,0,"fresh spicy, aromatic, floral, woody, vanilla, rose","patchouli, rosemary, black pepper, fragonia, laurels, fir, orange, rose, vanilla"
Abdul Karim Al Faransi,Bakhoor Hindi,2014,"sweet, fruity, floral, musky, sour","fruity notes, sweet notes, white musk, floral notes"
Teufels Kuche,Patchouli Lilith,0,"white floral, patchouli, warm spicy, earthy, balsamic","patchouli, jasmine"
House of Cherry Bomb,Cardamom Rose,2013,"warm spicy, citrus, rose, aromatic, white floral","cardamom, moroccan rose, neroli, tangerine, spicy notes"
Une Nuit A Bali,Murmure des Dieux,2016,"warm spicy, white floral, soft spicy, aromatic, fresh","frangipani, magnolia, jasmine sambac, tonka bean, white musk, amber, vanilla, fenugreek, rice, sesame, cardamom, fennel"
Denim,Original,0,"woody, aromatic, balsamic, smoky, citrus","olibanum, amber, vetiver, cedar, bergamot, petitgrain, clary sage"
Nicolai Bergmann,Vintage Peony Fig Leaf,2011,"floral, fruity, white floral, woody, fresh, sweet","peony, fig, cornflower or sultan seeds, jasmine, magnolia"
Pal Zileri,Venice Cup,2012,"aromatic, fresh spicy, warm spicy, marine, citrus, patchouli","lavender, jasmine, geranium, palisander rosewood, musk, patchouli, cedar, amber, cardamom, bergamot, lemon, pepper, sea water"
L Aromatica Perfume,Stargazer Lily,0,"woody, balsamic, citrus, floral, powdery","exotic floral notes, citruses, sandalwood, resins, woody notes"
Julie Burk Perfumes,Burk by Burk Collection 3,0,"aromatic, fresh spicy, woody, animalic, powdery, citrus","lavender, geranium, jasmine, sandalwood, vetiver, leather, amber, vanilla, citruses"
Pupa,In Case of Love,2010,"fruity, floral, sweet, citrus, vanilla, woody","freesia, rose, cyclamen, patchouli, mahogany, vanille, musk, bergamot, mandarin orange, peach, pear"
Aveda,Rose Attar,2007,"rose, woody, balsamic, powdery, warm spicy","sandalwood, bulgarian rose"
Princesse Marina De Bourbon,L Or de Marina,2014,"white floral, floral, woody, rose, musky","jasmine, white flowers, lily-of-the-valley, rose, cedar, white musk, violet"
Serge Lutens,L Eau de Paille,2016,"green, woody, aromatic, balsamic, herbal, fresh spicy","hay, vetiver, incense"
Thierry Mugler,Womanity Liqueurs de Parfum,2013,"woody, nutty, fruity, sweet, green","caviar, fig, fig leaf, fig tree, vodka, hazelnut, spices, woodsy notes, dried fruits"
Van Cleef Arpels,Moonlight Patchouli,2016,"rose, cacao, leather, fruity, sweet","iris flower, bulgarian rose, fruity notes, leather, suede, cacao, patchouli leaf , woodsy notes"
Montblanc,Presence,2001,"warm spicy, aromatic, cinnamon, fresh spicy, balsamic, woody","apple, sage, heliotrope, teak wood, sandalwood, tonka bean, amber, white musk, ginger, cinnamon, bergamot, cardamom"
Avon,Attraction,2015,"fruity, amber, sweet, musky, animalic","jasmine, black orchid, musk, amber, madagascar vanilla, praline, labdanum, pear, blackberry, pink pepper"
CB I Hate Perfume,At The Beach 1966,2005,"marine, sand, savory, aromatic, salty","sand, sea water, seashells, woodsy notes"
Ajne,Passion,0,"powdery, musky, amber, rose, floral, citrus","bulgarian rose, turkish rose, powdery notes, amber, musk, blood orange, magnolia"
Tova Beverly Hills,Tova Signature Autumn,2009,"woody, aldehydic, amber, balsamic, powdery","lavender, jasmine, peony, musk, sandalwood, virginia cedar, amber, bergamot, aldehydes"
Cerruti,1881,1995,"floral, powdery, woody, herbal, aromatic","coriander, tuberose, iris, chamomile, galbanum, jasmine, brazilian rosewood, orange blossom, geranium, narcissus, sandalwood, amber, musk, vanilla, cedar, mimosa, iris, violet, freesia, jasmine, lily-of-the-valley, bergamot, rose"
